time,open,high,low,close
2023-01-18T12:00:00Z,21203.5,21297.39,21201.88,21261.64
2023-01-18T13:00:00Z,21260.5,21475.19,21200,21405.68
2023-01-18T14:00:00Z,21405.67,21650.21,21315.79,21427.02
2023-01-18T15:00:00Z,21425.15,21562.79,20777,21029.84
2023-01-18T16:00:00Z,21027.32,21033.1,20370.01,20862.55
2023-01-18T17:00:00Z,20862.12,21148.73,20737.59,20883.46
2023-01-18T18:00:00Z,20884.66,21075.51,20834.47,20933.63
2023-01-18T19:00:00Z,20932.55,20977.64,20877.03,20900.47
2023-01-18T20:00:00Z,20900.46,20937.96,20666.63,20732.74
2023-01-18T21:00:00Z,20729.87,20840.47,20710.6,20776.37
2023-01-18T22:00:00Z,20777.56,20810.79,20625.27,20802.92
2023-01-18T23:00:00Z,20801.47,20812.82,20642.14,20674.29
2023-01-19T00:00:00Z,20674.03,20761.72,20656.52,20694.18
2023-01-19T01:00:00Z,20694.22,20774.56,20675.06,20715.79
2023-01-19T02:00:00Z,20716.09,20776.1,20657.16,20761.88
2023-01-19T03:00:00Z,20761.71,20817.07,20740.9,20745.98
2023-01-19T04:00:00Z,20745.29,20868.95,20741.06,20808.63
2023-01-19T05:00:00Z,20808.63,20848.45,20791.85,20812.48
2023-01-19T06:00:00Z,20812.48,20854.87,20796.54,20826.84
2023-01-19T07:00:00Z,20826.84,20844.7,20800.03,20815.07
2023-01-19T08:00:00Z,20816.78,20845.83,20760.39,20767.18
2023-01-19T09:00:00Z,20768.55,20807.08,20727.95,20793.08
2023-01-19T10:00:00Z,20793.08,20801.03,20750.57,20796.38
2023-01-19T11:00:00Z,20794.16,20797.84,20708.35,20742.8
2023-01-19T12:00:00Z,20742.79,20772.63,20677.62,20726.57
2023-01-19T13:00:00Z,20724.87,20809.44,20660.09,20774.72
2023-01-19T14:00:00Z,20775.52,20880.38,20720.12,20800.92
2023-01-19T15:00:00Z,20800.93,20960,20785.21,20873.58
2023-01-19T16:00:00Z,20874.02,20925.03,20826.11,20874.66
2023-01-19T17:00:00Z,20874.63,20946.56,20794.86,20843.09
2023-01-19T18:00:00Z,20841.82,21022.23,20830.9,20978.84
2023-01-19T19:00:00Z,20978.77,21137.18,20950,21091.36
2023-01-19T20:00:00Z,21091.04,21197,21041.57,21105
2023-01-19T21:00:00Z,21105,21110,20923.09,20935.16
2023-01-19T22:00:00Z,20935.16,21088.56,20932.32,21067.68
2023-01-19T23:00:00Z,21067.69,21131.13,21020.38,21084.22
2023-01-20T00:00:00Z,21084.05,21124.04,21029.51,21053.08
2023-01-20T01:00:00Z,21053.07,21150,21012.45,21119.2
2023-01-20T02:00:00Z,21119.21,21222,21084.31,21085.53
2023-01-20T03:00:00Z,21084.93,21118.9,21063.97,21092.31
2023-01-20T04:00:00Z,21092.31,21131.66,20975,20993.7
2023-01-20T05:00:00Z,20993.7,21039.89,20955.36,20984.43
2023-01-20T06:00:00Z,20985.29,21000.62,20928.65,20947.18
2023-01-20T07:00:00Z,20947.06,20993.8,20865.64,20966.99
2023-01-20T08:00:00Z,20966.93,20984.43,20903.3,20951.38
2023-01-20T09:00:00Z,20951.37,20997.2,20912.99,20961.12
2023-01-20T10:00:00Z,20960.59,20970.46,20916.89,20962.7
2023-01-20T11:00:00Z,20962.7,20986.48,20937.26,20964.03
2023-01-20T12:00:00Z,20964.02,21128.09,20957.73,21089.24
2023-01-20T13:00:00Z,21090.37,21148.32,21043.05,21060.12
2023-01-20T14:00:00Z,21059.98,21169.78,21015.79,21156.43
2023-01-20T15:00:00Z,21156.4,21249.41,21108.55,21145.9
2023-01-20T16:00:00Z,21145.9,21418.48,21141.97,21313.96
2023-01-20T17:00:00Z,21316.48,21414.85,21285.34,21356.88
2023-01-20T18:00:00Z,21356.11,21439.58,21294.31,21391.08
2023-01-20T19:00:00Z,21390.16,21532.14,21362.12,21500.98
2023-01-20T20:00:00Z,21500.92,22387.48,21500.92,22299.01
2023-01-20T21:00:00Z,22291.57,22456.1,22210.71,22320.91
2023-01-20T22:00:00Z,22320.91,22739.97,22318.8,22594.65
2023-01-20T23:00:00Z,22594.72,22754.73,22583.93,22669.81
2023-01-21T00:00:00Z,22671.09,22801,22432.45,22577.98
2023-01-21T01:00:00Z,22577.03,22621.47,22547.98,22565.67
2023-01-21T02:00:00Z,22565.51,22628.88,22513.53,22554.4
2023-01-21T03:00:00Z,22554.45,22577.07,22499.63,22551.79
2023-01-21T04:00:00Z,22550.55,22646.84,22519.8,22603.88
2023-01-21T05:00:00Z,22604.52,22628.06,22567.28,22577.49
2023-01-21T06:00:00Z,22576.88,22626.85,22558.1,22624.05
2023-01-21T07:00:00Z,22625.02,22677.3,22606.01,22646.67
2023-01-21T08:00:00Z,22646.67,22783.53,22634.31,22707.91
2023-01-21T09:00:00Z,22707.75,23100,22692.31,23039.21
2023-01-21T10:00:00Z,23034.92,23375.6,22606.42,22786.69
2023-01-21T11:00:00Z,22789.82,22960.06,22657.98,22913.47
2023-01-21T12:00:00Z,22913.47,23081.88,22891.64,23044.5
2023-01-21T13:00:00Z,23044.54,23054.56,22861.37,22935.19
2023-01-21T14:00:00Z,22935.23,23027.87,22885.05,22962.85
2023-01-21T15:00:00Z,22962.71,23288.07,22933.19,23003.17
2023-01-21T16:00:00Z,23006.92,23274.52,22992.33,23205.24
2023-01-21T17:00:00Z,23205.25,23363.59,23131.69,23235.03
2023-01-21T18:00:00Z,23230.47,23275.6,23060.32,23253.38
2023-01-21T19:00:00Z,23253.95,23317.57,23182.53,23281.49
2023-01-21T20:00:00Z,23278.81,23311.15,23091.49,23100.39
2023-01-21T21:00:00Z,23096,23224.8,23007.61,23207.75
2023-01-21T22:00:00Z,23203.48,23214.85,22746.15,22768.62
2023-01-21T23:00:00Z,22761.89,22967.98,22687.31,22789.37
2023-01-22T00:00:00Z,22789.34,22981.73,22622.86,22880.37
2023-01-22T01:00:00Z,22878.6,22887.83,22689.94,22795.11
2023-01-22T02:00:00Z,22795.45,22838.32,22604.2,22711.09
2023-01-22T03:00:00Z,22711.93,22778.52,22672.41,22762.56
2023-01-22T04:00:00Z,22761.69,22871.68,22720.01,22851.74
2023-01-22T05:00:00Z,22852.36,22899.3,22837.7,22880.69
2023-01-22T06:00:00Z,22881.3,22969.68,22866.85,22924.45
2023-01-22T07:00:00Z,22924.41,22965.56,22880.08,22898.98
2023-01-22T08:00:00Z,22898.91,22926.16,22812.88,22917.76
2023-01-22T09:00:00Z,22915.09,22941.38,22837.61,22861.54
2023-01-22T10:00:00Z,22861.24,22908.7,22841.45,22874.29
2023-01-22T11:00:00Z,22875.36,22888.42,22731.41,22789.01
2023-01-22T12:00:00Z,22789.25,22874.78,22700,22874.33
2023-01-22T13:00:00Z,22872.48,22930.43,22850.63,22901.34
2023-01-22T14:00:00Z,22900.75,23043.24,22870.23,22995.08
2023-01-22T15:00:00Z,22993.4,23082.82,22646.42,22798.28
2023-01-22T16:00:00Z,22798.28,22866.11,22692.83,22821.26
2023-01-22T17:00:00Z,22821.6,22963.81,22785.02,22927.42
2023-01-22T18:00:00Z,22928.18,22942.72,22823.13,22841.29
2023-01-22T19:00:00Z,22839.92,22860,22687.88,22723.61
2023-01-22T20:00:00Z,22725.41,22737.1,22298.15,22456.88
2023-01-22T21:00:00Z,22458.83,22643.33,22320.49,22592.15
2023-01-22T22:00:00Z,22592.13,22702.74,22542.41,22685.32
2023-01-22T23:00:00Z,22683.47,22782.16,22648.68,22714.87
2023-01-23T00:00:00Z,22714.81,22814.51,22665.11,22748.14
2023-01-23T01:00:00Z,22748.15,22824.83,22693.97,22703.67
2023-01-23T02:00:00Z,22702.1,22761.96,22695.05,22754.04
2023-01-23T03:00:00Z,22755.94,22774.68,22656.21,22667.31
